id,fase,descripcion_riesgo,probabilidad,impacto,nivel_riesgo,control_existe,efectividad_control,control_descripcion,control_faltante,prioridad_control_faltante,responsable_control,plazo_control_dias,estado_semanal,fecha_actualizacion,responsable_riesgo,accion_requerida,comentario,categoria_riesgo,publicar_ciudadano,validacion_tercero,conoce_ciudadano,estimacion_ahorro_q,mejora_transparencia
R-020,F4,Contratista sin experiencia en edificios estatales,4,5,Critico,Si,50,Evaluacion con minimo 2 proyectos,Clausula de desempeño con penalizaciones,Critica,Jefe Eventos,30,Rojo,2026-04-28,Jefe Eventos,Endurecer criterios de precalificacion,Contratista S incumplio en obra anterior,Legal,Si,Sí,No,300000,Incrementa
R-021,F4,Conflicto de interes en adjudicacion,2,5,Alto,Si,85,Declaracion jurada + verificacion,Inhabilitacion automatica en sistema,Media,Juridico,60,Verde,2026-04-28,Juridico,Revision aleatoria de casos historicos,Sin detecciones en 2026,Gobernanza,Si,Sí,No,0,Incrementa
R-022,F5,Contratista incumple plan de inversion del anticipo,3,5,Critico,Si,80,Fianza de anticipo al 100,Verificacion de desembolsos en 15 dias,Critica,Supervisor Control,15,Amarillo,2026-04-28,Supervisor,Auditar proyecto R,Contratista R retraso compra de materiales,Financiero,Si,No,Si,100000,Incrementa
R-023,F5,Falta de materiales criticos por desabastecimiento,3,4,Alto,Si,60,Reunion LPS con restricciones 3 semanas,Inventario minimo de seguridad,Alta,Contratista Supervisor,30,Amarillo,2026-04-25,Supervisor,Coordinar con proveedores locales,Cemento escasez en region norte,Operativo,Si,No,No,0,Incrementa
R-024,F5,Baja productividad de mano de obra,4,3,Alto,Si,55,Contratista presenta organigrama,Curva de aprendizaje en cronograma,Alta,Supervisor,30,Amarillo,2026-04-28,Supervisor,Capacitacion en sitio obligatoria,Rotacion 15 mensual en proyecto Q,Talento,Si,No,No,0,Incrementa
R-025,F5,Accidentes laborales con suspension de obra,2,5,Alto,Si,80,Plan de seguridad aprobado previamente,Equipo proteccion personal obligatorio,Media,Supervisor Seguridad,15,Verde,2026-04-28,Supervisor Seguridad,Simulacro trimestral,Sin accidentes graves en 2026,Seguridad,Si,No,No,0,Neutro
R-026,F5,Variaciones en cantidades de obra metrados,4,3,Medio,Si,70,Remetricacion mensual,Documento cambio si supera 5 del rubro,Media,Supervisor,30,Verde,2026-04-25,Supervisor,Capacitacion en medicion de cantidades,Variacion promedio 3.5,Tecnico,Si,No,No,0,Neutro
R-027,F5,Clima adverso que detiene obra,3,3,Medio,Si,75,Cronograma con holgura climatica 15,Actividades criticas en estacion seca,Media,Contratista Supervisor,30,Verde,2026-04-20,Supervisor,Plan de mitigacion contratiempos,2 dias perdidos por lluvias en abril,Operativo,Parcial,No,No,0,Neutro
R-028,F5,Comunidad bloquea obra por incumplimiento de compromisos,2,4,Medio,Si,65,Acta de compromiso comunitario previa,Canal de quejas con respuesta 48h,Media,Supervisor,30,Verde,2026-04-28,Supervisor,Gestion social continua,Sin bloqueos en 2026,Social,Parcial,No,Parcial,0,Incrementa
R-029,F6,Obra entregada pero con vicios ocultos,3,5,Critico,Si,85,Fianza de conservacion de obra 1 año,Periodo de garantia en contrato NEC4,Alta,Supervisor Contratista,30,Amarillo,2026-04-28,Supervisor,Inspeccion exhaustiva comision receptora,Proyecto Y con observaciones menores,Tecnico,Si,Potencial,No,75000,Incrementa
R-030,F6,Manual de operacion y mantenimiento incompleto,4,3,Alto,Si,70,Exigible como condicion de pago final,Checklist de contenido minimo,Alta,Supervisor,30,Amarillo,2026-04-28,Supervisor,Validar manual antes de entrega,Manuales incompletos en 2 entregas,Operativo,Si,No,No,0,Incrementa
R-031,F6,Municipalidad no acepta la obra,2,4,Medio,Si,80,Acta de socializacion durante ejecucion,Capacitacion operador previa a entrega,Media,Comision Receptora,45,Verde,2026-04-28,Comision Receptora,Acta de recepcion condicionada,Todos los proyectos aceptados en 2026,Social,Si,No,Si,0,Incrementa
R-032,Transversal,Cambio de autoridades que revierte decisiones,3,4,Alto,Si,70,Expediente digital inmodificable,Clausula de estabilidad juridica en contratos,Alta,Director General,60,Amarillo,2026-04-28,Director General,Documentar decisiones tecnicas firmadas,3 cambios de autoridad en 2025,Gobernanza,Si,No,No,0,Incrementa
R-033,Transversal,Falta de presupuesto para siguiente año fiscal,3,5,Critico,Si,75,Programacion plurianual en SNIP,Priorizacion de obras por fases completas,Alta,Director Financiero,60,Amarillo,2026-04-28,Director Financiero,Gestion anticipada de recursos,Recorte proyectado 10 para 2027,Financiero,Si,No,No,0,Neutro
R-034,Transversal,Rotacion de personal tecnico,4,3,Alto,Si,50,Manual de procedimientos actualizado,Bitacora digital de decisiones + plan de sucesion,Alta,Director RRHH,90,Amarillo,2026-04-28,Director RRHH,Certificacion interna obligatoria,2 supervisores renunciaron en Q1,Talento,No,No,No,0,Neutro
R-035,Transversal,Denuncia ciudadana o auditoria con hallazgos,2,5,Alto,Si,80,Transparencia activa publicacion de avances,Expediente digital completo accesible,Media,Director Infraestructura,45,Verde,2026-04-28,Director Infraestructura,Responder en plazo legal,Sin denuncias en 2026,Gobernanza,Si,Sí,Sí,0,Incrementa
R-036,Transversal,Correcciones en serie por falta de criterios unicos,4,4,Alto,Si,65,Checklist unico de requisitos,Notificacion con causa especifica y plazo,Alta,Jefe Planificacion,30,Rojo,2026-04-28,Jefe Planificacion,Consensuar checklist con SEGEPLAN,3 rechazos consecutivos en proyecto V,Operativo,Si,No,No,0,Incrementa
